time_local,id,event,fight_date,location,bout,weight_class,time_format,state,winner,method,det,round,last_round,time,fighter_r,bdy_val_r,bdy_tot_r,ctrl_r,hd_val_r,hd_tot_r,kd_r,lgs_val_r,lgs_tot_r,sigstr_val_r,sigstr_tot_r,subatt_r,td_val_r,td_tot_r,totstr_val_r,totstr_tot_r,ht_r,rch_r,sigstrkacc_r,sigstrklpm_r,stnce_r,subavg_r,tdacc_r,tdavg_r,wt_r,dob_r,fighter_b,bdy_val_b,bdy_tot_b,ctrl_b,hd_val_b,hd_tot_b,kd_b,lgs_val_b,lgs_tot_b,sigstr_val_b,sigstr_tot_b,subatt_b,td_val_b,td_tot_b,totstr_val_b,totstr_tot_b,ht_b,rch_b,sigstrkacc_b,sigstrklpm_b,stnce_b,subavg_b,tdacc_b,tdavg_b,wt_b,dob_b
06:17:54,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 2:01",1.0,5,5:00,islam_makhachev,2,3,0:00,5,15,0,1,1,8,19,0,0,0,8,19,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,8,21,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:18:13,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 0:59",1.0,5,5:00,islam_makhachev,3,4,1:03,5,16,0,1,1,9,21,0,1,1,10,22,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,8,21,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:18:30,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 0:59",1.0,5,5:00,islam_makhachev,3,4,1:03,5,16,0,1,1,9,21,0,1,1,10,22,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,8,21,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:18:49,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 1:28",1.0,5,5:00,islam_makhachev,3,4,0:27,5,16,0,1,1,9,21,0,0,0,10,22,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,8,21,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:19:07,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 2:01",1.0,5,5:00,islam_makhachev,2,3,0:00,5,15,0,1,1,8,19,0,0,0,8,19,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,8,21,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:19:25,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 0:18",1.0,5,5:00,islam_makhachev,3,4,1:33,5,16,0,1,1,9,21,0,1,1,14,26,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,9,23,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:19:44,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,End R1,1.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:20:02,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,End R1,1.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:20:20,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,End R1,1.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:20:39,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 4:54",2.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:20:57,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,End R1,1.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:21:16,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 4:54",2.0,5,5:00,islam_makhachev,3,4,2:04,5,16,0,1,1,9,21,0,1,1,15,27,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,5,14,0,2,3,8,21,0,0,0,11,25,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:21:34,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 4:14",2.0,5,5:00,islam_makhachev,3,4,2:04,6,19,0,1,1,10,24,0,1,1,16,30,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,5,16,0,2,3,8,24,0,0,0,11,28,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:21:53,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 4:14",2.0,5,5:00,islam_makhachev,3,4,2:04,6,19,0,1,1,10,24,0,1,1,16,30,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,5,16,0,2,3,8,24,0,0,0,11,28,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:22:11,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 3:42",2.0,5,5:00,islam_makhachev,4,5,2:08,7,24,0,1,1,12,30,0,2,2,18,36,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,6,23,0,2,3,9,31,0,0,0,12,35,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:22:30,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 3:42",2.0,5,5:00,islam_makhachev,4,5,2:08,7,24,0,1,1,12,30,0,2,2,18,36,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,6,23,0,2,3,9,31,0,0,0,12,35,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
